key,value
operating_system,Ubuntu 20.04.6 LTS
cpu_name,AMD Ryzen 3 3200G with Radeon Vega Graphics
manufacturer,AuthenticAMD
arch,x86_64
family,23
model,24
stepping,1
flags,"['fpu', 'vme', 'de', 'pse', 'tsc', 'msr', 'pae', 'mce', 'cx8', 'apic', 'sep', 'mtrr', 'pge', 'mca', 'cmov', 'pat', 'pse36', 'clflush', 'mmx', 'fxsr', 'sse', 'sse2', 'ht', 'syscall', 'nx', 'mmxext', 'fxsr_opt', 'rdtscp', 'lm', 'constant_tsc', 'rep_good', 'nopl', 'nonstop_tsc', 'cpuid', 'extd_apicid', 'tsc_known_freq', 'pni', 'pclmulqdq', 'ssse3', 'cx16', 'sse4_1', 'sse4_2', 'x2apic', 'movbe', 'popcnt', 'aes', 'xsave', 'avx', 'rdrand', 'hypervisor', 'lahf_lm', 'cmp_legacy', 'cr8_legacy', 'abm', 'sse4a', 'misalignsse', '3dnowprefetch', 'ssbd', 'vmmcall', 'fsgsbase', 'bmi1', 'avx2', 'bmi2', 'rdseed', 'clflushopt', 'arat']"
l1_cache_size,128 KiB
l2_cache_size,2 MiB
l3_cache_size,4 MiB
max_clock_speed,3600.008
is_support_virtualization,True
cpu_cores,4
cpu_threads,4
report_date,13/08/2023 11:53
